agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.24999861992278735]","[0.25, 0.24999964329358812]","[0.25, 0.2500007774585631]","[0.25, 0.25000095932506144]",replicator,Prisoner's Dilemma,0.95,2,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999918521554895]","[0.4, 0.39999456172877124]","[0.1, 0.10000060587442994]","[0.1, 0.10000095738949004]",replicator,Prisoner's Dilemma,0.95,2,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000161263107654]","[0.1, 0.09999998528957198]","[0.4, 0.39999669239762814]","[0.4, 0.3999969159197778]",replicator,Prisoner's Dilemma,0.95,2,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39999381669185446]","[0.1, 0.1000012171656001]","[0.4, 0.39999356082182824]","[0.1, 0.10000193845597924]",replicator,Prisoner's Dilemma,0.95,2,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000365922363344]","[0.4, 0.3999935113382955]","[0.1, 0.09999847479606966]","[0.4, 0.39999795258289217]",replicator,Prisoner's Dilemma,0.95,2,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24999984458409505]","[0.25, 0.25000092791689077]","[0.25, 0.24999968980431764]","[0.25, 0.24999953769469652]",replicator,Prisoner's Dilemma,0.99,2,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999758830035403]","[0.4, 0.3999982542819811]","[0.1, 0.10000165055319671]","[0.1, 0.09999938880121953]",replicator,Prisoner's Dilemma,0.99,2,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000373808697036]","[0.1, 0.09999934573728289]","[0.4, 0.3999927363924673]","[0.4, 0.3999949283105198]",replicator,Prisoner's Dilemma,0.99,2,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3999977137240249]","[0.1, 0.10000224411041411]","[0.4, 0.399997693836866]","[0.1, 0.09999890399936319]",replicator,Prisoner's Dilemma,0.99,2,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000331643532498]","[0.4, 0.3999939433306908]","[0.1, 0.09999993222083364]","[0.4, 0.3999930620446748]",replicator,Prisoner's Dilemma,0.99,2,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.25000004277176535]","[0.25, 0.24999788478279378]","[0.25, 0.2500021788919168]","[0.25, 0.24999989355352412]",replicator,Stag Hunt,0.95,2,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999544729445]","[0.4, 0.3999952241865228]","[0.1, 0.10000077672876596]","[0.1, 0.10000155540099086]",replicator,Stag Hunt,0.95,2,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000008463524893]","[0.1, 0.10000221672290685]","[0.4, 0.39999315451917405]","[0.4, 0.3999976400482029]",replicator,Stag Hunt,0.95,2,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3999928739709668]","[0.1, 0.10000206739745696]","[0.4, 0.39999498532046035]","[0.1, 0.1000009677796863]",replicator,Stag Hunt,0.95,2,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000090525594493]","[0.4, 0.3999943643824555]","[0.1, 0.10000093580398231]","[0.4, 0.39999827137783567]",replicator,Stag Hunt,0.95,2,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.24999962464864417]","[0.25, 0.25000164365657096]","[0.25, 0.24999931188886543]","[0.25, 0.24999941980591942]",replicator,Stag Hunt,0.99,2,"[0.25, 0.25, 0.25, 0.25]"
