agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.2500000264280771, 0.250003335680739, 0.2500035539013802, 0.2500021446347352, 0.2500017558308197, 0.25000447348043514, 0.25000301641051986, 0.2500010916028164, 0.2500006112558423]","[0.25, 0.24999898995261494, 0.24999650279079286, 0.24999568074316533, 0.2499955253955934, 0.2499960586898363, 0.2499943709242726, 0.24999339548934743, 0.24999052654324733, 0.24999009850585976]","[0.25, 0.2500001869761077, 0.250000518880085, 0.2500006873433979, 0.2500002871056438, 0.2500008833100211, 0.25000035722907465, 0.25000166000701124, 0.25000446339412696, 0.25000412924039445]","[0.25, 0.2500007966432003, 0.24999964265535266, 0.2500000780331647, 0.2500020428672993, 0.250001302154346, 0.2500007983924533, 0.25000192812071803, 0.2500039185739417, 0.2500051611396695]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999846134609973, 0.39999767996408286, 0.3999928891397938, 0.3999787103673092, 0.3999704232816985, 0.3999678297888567, 0.3999596665086997, 0.3999520034526856, 0.39994746128995173]","[0.4, 0.3999961138737743, 0.3999909433788487, 0.39998428339940834, 0.3999690207143676, 0.39996110401564716, 0.39995387840675894, 0.39994778537501746, 0.3999389286766947, 0.39993327145372437]","[0.1, 0.10000037837362637, 0.10000101445168166, 0.10000248745498015, 0.10000204663727037, 0.10000284207172393, 0.10000508753731681, 0.10000525757724282, 0.10000629018359762, 0.10000797250535029]","[0.1, 0.10000097782140514, 0.10000182973663214, 0.10000321951928343, 0.10001102115452175, 0.10001427730482551, 0.10001448693202292, 0.10001788181026959, 0.10002098023300282, 0.1000218483978337]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.1000004485720408, 0.10000159660825594, 0.1000024968956287, 0.10000292772846442, 0.10000416144254841, 0.10000513947945672, 0.10000581216512933, 0.10000675521068396, 0.1000104060348381]","[0.1, 0.10000162184669908, 0.10000184659967552, 0.10000185085606027, 0.1000034000123786, 0.10000466481942029, 0.10000437419217792, 0.10000600891618217, 0.10000648181732669, 0.10000560151461137]","[0.4, 0.3999961523159745, 0.39999323800188796, 0.39999241882627445, 0.3999885781466276, 0.39998243294543756, 0.3999829778632576, 0.3999782979470817, 0.3999751060560987, 0.399970366786419]","[0.4, 0.39999556600906605, 0.3999929892581628, 0.39999019037946076, 0.3999861114330369, 0.3999822631753084, 0.39997896884954426, 0.3999744199896531, 0.3999719487579616, 0.39996560743978116]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.399995131851369, 0.3999905716058472, 0.3999888525220076, 0.3999799536438806, 0.39997504990782407, 0.3999687065348279, 0.39996404886530634, 0.39995714766164503, 0.3999543486750292]","[0.1, 0.09999949547550616, 0.10000110023470124, 0.10000114326370271, 0.1000022950052551, 0.10000347429910558, 0.1000046678367997, 0.10000631189595895, 0.10000767071645929, 0.1000090454483108]","[0.4, 0.3999959559413886, 0.3999920287407846, 0.3999894971618581, 0.3999816589981672, 0.39997529959432016, 0.3999687728545412, 0.3999640352861802, 0.3999582387849379, 0.39995266524939976]","[0.1, 0.10000273257630447, 0.10000324970847642, 0.1000042694015189, 0.10000730217651906, 0.1000089389485638, 0.10001096336116205, 0.10001166844907868, 0.10001348463784791, 0.10001420345935717]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000068753205547, 0.10000373597142179, 0.10000508211919835, 0.10000863592558912, 0.10001262467891968, 0.1000142448394486, 0.10001476256299591, 0.10001887751784065, 0.10001913255022873]","[0.4, 0.3999941774519921, 0.39998800960166003, 0.3999818243998975, 0.39997423710590346, 0.3999606667495515, 0.39995489834871495, 0.3999488142472295, 0.3999395813853317, 0.3999315871067496]","[0.1, 0.10000189941514563, 0.1000025207670114, 0.10000285609312416, 0.1000028515387716, 0.10000534765272635, 0.10000566638213057, 0.10000744080423248, 0.10000771239804898, 0.1000110472036096]","[0.4, 0.39999547475920355, 0.3999869637617197, 0.39998642350591546, 0.3999798150827148, 0.3999674491305033, 0.3999654635867106, 0.3999623807549948, 0.3999540718957439, 0.39994770998201556]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2500028844301216, 0.25000543615937887, 0.250005309834443, 0.25000528575603775, 0.25000497509014474, 0.2500051583273348, 0.25000540939561317, 0.2500054052991388, 0.25000776458289153]","[0.25, 0.24999827395678628, 0.2499963505481646, 0.2499955618863098, 0.24999442171923958, 0.24999300364478003, 0.24999206769139315, 0.24999081411110977, 0.24998971403858047, 0.24998970395366507]","[0.25, 0.24999933501966012, 0.24999955729753803, 0.25000059180140166, 0.2500016860206706, 0.250002610797034, 0.2500028015570147, 0.2500036609859967, 0.25000476689572076, 0.25000360925490517]","[0.25, 0.24999950659343198, 0.24999865603872637, 0.24999853652923, 0.24999860657734643, 0.24999941056816513, 0.2499999725548886, 0.2500001156924834, 0.2500001140082903, 0.24999892247907662]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.39999380207909196, 0.399987019995202, 0.3999828467047971, 0.399981064779108, 0.399973088083134, 0.3999689047309207, 0.39996386647121424, 0.3999587569277847, 0.3999520502421713]","[0.4, 0.39999231023956844, 0.3999843820417692, 0.3999790271121053, 0.39997293954730834, 0.3999637329511541, 0.39995830568212165, 0.3999487944978214, 0.399939216151482, 0.39993160053345844]","[0.1, 0.10000010357868754, 0.10000037969806941, 0.10000212277004242, 0.1000036989328624, 0.10000445238388508, 0.10000623955779774, 0.10000694482908477, 0.10000767245950937, 0.10000790372173776]","[0.1, 0.10000336834164739, 0.10000676997192509, 0.10000740909098255, 0.1000078004621414, 0.10001134338848695, 0.10001195921270048, 0.10001489204292084, 0.10001783729599155, 0.10002118768718325]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10000092797526454, 0.10000204809246523, 0.10000238988293084, 0.10000343174525796, 0.10000452955875518, 0.10000556627364202, 0.10000606323308123, 0.1000091662492979, 0.10000958487476695]","[0.1, 0.09999978148851218, 0.09999978930386416, 0.10000128933051107, 0.10000123237302061, 0.10000114327074484, 0.1000010513216564, 0.10000263417427852, 0.10000344676504173, 0.10000489384044144]","[0.4, 0.3999969325956327, 0.3999946905656173, 0.3999893326988338, 0.3999879057549564, 0.3999864479744039, 0.3999850283443941, 0.3999815245362295, 0.3999737366672625, 0.3999683381808434]","[0.4, 0.40000022954926046, 0.3999979599064648, 0.39999595060152343, 0.3999934380862023, 0.39999086125451955, 0.39998850210695597, 0.3999836871136395, 0.3999758140736527, 0.39997375058882867]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.3999977711371009, 0.3999954853394005, 0.3999904669346763, 0.3999855352829246, 0.3999773667630295, 0.3999750161101414, 0.3999701817689741, 0.399965135051598, 0.3999626615951043]","[0.1, 0.10000001256699398, 0.10000005004451622, 0.10000168553149465, 0.10000347497835788, 0.1000020804785347, 0.10000216345448033, 0.10000373860279256, 0.10000527448316969, 0.10000527495241956]","[0.4, 0.399997731891358, 0.39999539168847026, 0.39999035771849095, 0.3999865356859816, 0.3999795285769687, 0.3999771574052343, 0.3999734373621593, 0.3999694875838328, 0.3999670035603851]","[0.1, 0.10000111167589132, 0.10000223071746245, 0.10000310837321533, 0.10000350744240077, 0.10000869611579531, 0.10000979375676891, 0.10001035742239808, 0.10001107095689787, 0.10001231009610484]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10000320657791692, 0.10000375484674982, 0.10000456787844625, 0.10000526894236567, 0.10000597439382862, 0.10000605203945648, 0.10000666147959392, 0.10000694435805674, 0.10001036878221202]","[0.4, 0.3999916093244249, 0.39998826695139933, 0.3999856951034995, 0.39998079229738953, 0.3999757192016676, 0.399968158266551, 0.3999629314391048, 0.3999584391348608, 0.3999509874215095]","[0.1, 0.0999998646042722, 0.10000043976126045, 0.10000118208600335, 0.1000018459959265, 0.10000255848718025, 0.10000597856243941, 0.10000774263160593, 0.1000091436070563, 0.10000919548243146]","[0.4, 0.3999961059468187, 0.3999949547650855, 0.39999130544386463, 0.3999907487015285, 0.39999015048511843, 0.399983721522542, 0.39997945547186675, 0.39997721340119274, 0.39997076202840737]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
