agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.24975608564128146, 0.25201450816790805, 0.2524919444337712, 0.25418982917023836, 0.25593999115029337, 0.255865383305073, 0.25583574294257266, 0.25763327160468136, 0.2577923281067457]","[0.25, 0.2491850652150397, 0.24843029655451423, 0.24800751823565684, 0.24670629313915676, 0.24418212261076216, 0.24391232261541096, 0.24297118283178099, 0.2431429147526834, 0.24274881994292222]","[0.25, 0.24966030072041645, 0.2488937513736471, 0.24827038185154812, 0.24747891481455941, 0.24707582710945422, 0.24745973990431872, 0.24709811497745826, 0.24612158544350782, 0.24628000252295476]","[0.25, 0.25139854842326237, 0.25065863350227235, 0.25123812618894453, 0.25166777592599615, 0.25291982318965156, 0.2528800116874584, 0.2542545938090444, 0.2532932793094411, 0.25338441593269134]",replicator,Prisoner's Dilemma,0.95,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3960681653906154, 0.39414874591445215, 0.3921048187882861, 0.3911456238379146, 0.3907933531970725, 0.3878242665254194, 0.38637786420672915, 0.3829289942105884, 0.3804406316849266]","[0.4, 0.39547958270305217, 0.39118709292226683, 0.38761717771603216, 0.3850501573061816, 0.38249789493111935, 0.37883663789703387, 0.3768725963730445, 0.37219413173383803, 0.3692540807308809]","[0.1, 0.10046974167512936, 0.10204482233306669, 0.10188223011840765, 0.10267994184562845, 0.10307635957521546, 0.10382224756927387, 0.10429747113247935, 0.10397416857510537, 0.10468216108936562]","[0.1, 0.10164332130145377, 0.10164564943658017, 0.10326230996462286, 0.10339026172141871, 0.10376952712706315, 0.10480029968055458, 0.1052547820933253, 0.10782719697749402, 0.10864540741266399]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10178418038823135, 0.10281816388814798, 0.10299459392198404, 0.10333323083437465, 0.10363409905806657, 0.10396434840694407, 0.10467726581549379, 0.10526080824582038, 0.10551410238580658]","[0.1, 0.09955841169841934, 0.09983765596149294, 0.10127040345302374, 0.1020387576433633, 0.10285043400994126, 0.10364086413081448, 0.10357332888460398, 0.10355008315562138, 0.10456052519273176]","[0.4, 0.3975111229756582, 0.39682900270076404, 0.39359990171885845, 0.39119351320271584, 0.38900363667205534, 0.38709627827867377, 0.38578336685746883, 0.3847273723153002, 0.38233614424798673]","[0.4, 0.39711850867773907, 0.3926519428461491, 0.3895384272177136, 0.3876837293852521, 0.3856413017764944, 0.3833395108071546, 0.3822607911125389, 0.3812619548129238, 0.3789938396690945]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39730062050799975, 0.3972399535091439, 0.39435079936019934, 0.39360593393348975, 0.3925049096668725, 0.39079285706314554, 0.389541066116213, 0.38721511305644357, 0.3846806325270475]","[0.1, 0.10082880484483693, 0.10077851233845193, 0.10145191168475663, 0.10139356914428999, 0.10205937548618907, 0.10231870349057418, 0.10234665121125312, 0.10310433916753957, 0.10410508526490032]","[0.4, 0.39799483741476865, 0.39653303750662744, 0.39382032824488333, 0.3925548088361415, 0.3897679058646571, 0.3887439262913156, 0.38794382696816265, 0.385099721496564, 0.3831028568395497]","[0.1, 0.10034733067447099, 0.10078127274793268, 0.10153029573478481, 0.10210671967835387, 0.10244674730801473, 0.10290243686424078, 0.10341573788811448, 0.10402579615368242, 0.10423640430738015]",replicator,Prisoner's Dilemma,0.95,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10183689390842189, 0.1036182106875155, 0.10388776424191783, 0.1046198079369496, 0.10603665752427656, 0.10649807443131336, 0.10677208095730782, 0.10659751901966796, 0.10692832363747214]","[0.4, 0.395123945173162, 0.39190367843870627, 0.38915954413136344, 0.3863472030832783, 0.38332628984427597, 0.381364747186995, 0.3789510785893487, 0.374582745451341, 0.3722949153040575]","[0.1, 0.10052232742392687, 0.10054907193888374, 0.10137968940036536, 0.10157312416179756, 0.10139214338981743, 0.10160239309236935, 0.10250095037905149, 0.1044734873706183, 0.1048134958654827]","[0.4, 0.395439169497443, 0.39163982962860905, 0.3901280354046881, 0.3894539704465679, 0.3879187827826826, 0.3874114035796805, 0.38544036745023214, 0.3830962156789336, 0.38300039401894603]",replicator,Prisoner's Dilemma,0.95,10,"[0.1, 0.4, 0.1, 0.4]"
"[0.25, 0.2509945060649237, 0.2519398535691877, 0.2530162740669027, 0.25424588833059836, 0.2553838522882752, 0.25460067457994384, 0.2544287049730642, 0.25535363054979854, 0.2562542182365651]","[0.25, 0.24873360147480605, 0.24856748592075606, 0.2485119516521225, 0.24755485974956834, 0.24753920586583017, 0.24731880366143116, 0.2477233696544577, 0.24646186112981205, 0.24645620488424808]","[0.25, 0.2493100409358422, 0.24924133123631384, 0.2485584711816877, 0.2486971051416516, 0.2481483731062281, 0.24825592390540643, 0.24815282842854178, 0.2475505331649235, 0.247404864595003]","[0.25, 0.25096185152442807, 0.2502533956282663, 0.24992572436468544, 0.2495342698299644, 0.24898375255163646, 0.24986107879929823, 0.24972488445185378, 0.25069487056883877, 0.2499639857305948]",replicator,Prisoner's Dilemma,0.99,10,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.3981775373278579, 0.3956899678325287, 0.3935235352940764, 0.3928218128199934, 0.3906382005437754, 0.3904271220137953, 0.389958910575977, 0.38911604266216127, 0.38885435168243715]","[0.4, 0.39870624773648006, 0.3939991433673728, 0.3907481322795732, 0.3877322333776104, 0.38502767592743226, 0.38264284797383064, 0.38110702324672474, 0.3781170049502404, 0.37573580904252696]","[0.1, 0.10037099875111037, 0.1007199071569196, 0.10059141673974059, 0.101371865407852, 0.10237509603582653, 0.10273441350133584, 0.10299248404622159, 0.10372724481105226, 0.10414500638881886]","[0.1, 0.10040805498280517, 0.10187171788151804, 0.10340000870251512, 0.10358021890497829, 0.10385341891259753, 0.10418828830325488, 0.10446969475661524, 0.1047698278816484, 0.10507811693862136]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.10055782172715676, 0.10070140061002071, 0.10098879836840008, 0.10131516064531818, 0.10150309139165646, 0.10222926966633553, 0.10277451291878809, 0.10308576554420662, 0.10335123167481204]","[0.1, 0.09999862237222104, 0.1007041973796555, 0.10154387648361436, 0.10235957439738341, 0.10325757324580447, 0.10320300682427916, 0.10323734188951889, 0.10403914846951075, 0.10489615014991212]","[0.4, 0.3988785830889667, 0.3966446746442091, 0.39442059262592233, 0.39222459266640497, 0.3902807342734664, 0.38898537886499396, 0.3878678524940501, 0.38568562370373555, 0.3836074925075092]","[0.4, 0.3988956405135222, 0.3977455449536345, 0.39552421798326604, 0.39327092927751134, 0.3910403308395672, 0.3897472530241227, 0.38865857136518417, 0.3866496277661751, 0.38455230529693396]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.39884302844088154, 0.3963195816528321, 0.3951755606045314, 0.3938563458447642, 0.39271319741266525, 0.39049506196501327, 0.38966110888287414, 0.3874169440379237, 0.3860914798619968]","[0.1, 0.0999494759336657, 0.10087403016391089, 0.10086411118803082, 0.10152179289003717, 0.10155849905545242, 0.1023418619196118, 0.10305813475206232, 0.1037962447822508, 0.10371640785357047]","[0.4, 0.3992258544550883, 0.39669600807517474, 0.3955328250054846, 0.39392444920055214, 0.3927384277485331, 0.3910055589349339, 0.38846360216726517, 0.38656913557456696, 0.38580643885368776]","[0.1, 0.10053330334234187, 0.10087648195258603, 0.10147338022135155, 0.10156310094109976, 0.10212694624888194, 0.10236664733042025, 0.10253431167313484, 0.10289051769019093, 0.10352467772902586]",replicator,Prisoner's Dilemma,0.99,10,"[0.4, 0.1, 0.4, 0.1]"
"[0.1, 0.10030220675572751, 0.10058992532180443, 0.10088564360352081, 0.10249583466066947, 0.10294960654902227, 0.10432336504992507, 0.10477936873444937, 0.10508508003033705, 0.10527023212721393]","[0.4, 0.3972789340475811, 0.3945616091143338, 0.391758301034226, 0.38766432511971405, 0.3855975630802426, 0.3821539939941939, 0.3802035119418681, 0.37779218532308434, 0.3750712855349647]","[0.1, 0.10086369714501346, 0.10173290028207337, 0.10273357783669665, 0.10265990807604773, 0.10308395347180138, 0.10332674491400631, 0.10377451698179299, 0.10464116024129151, 0.10539976673809992]","[0.4, 0.3980574503494551, 0.396207965284668, 0.39396095341575543, 0.3920726189262721, 0.3908076012059284, 0.38816230492663356, 0.386764649728501, 0.384859183394619, 0.3841628122760311]",replicator,Prisoner's Dilemma,0.99,10,"[0.1, 0.4, 0.1, 0.4]"
