agent1,agent2,agent3,agent4,dynamics,game,gamma,generations_until_stability,initial_distribution
"[0.25, 0.6288888888888889, 0.9, 0.9855555555555555, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.37, 0.1, 0.014444444444444444, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.22111111111111112, 0.01888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0011111111111111111, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.7777777777777778, 0.9777777777777777, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.25, 0.056666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25, 0.09555555555555556, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]","[0.25, 0.8444444444444444, 0.92, 0.92, 0.92, 0.92, 0.92, 0.92]","[0.25, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.25, 0.25, 0.25, 0.25]"
"[0.4, 0.89, 0.9788888888888889, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.005555555555555556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.10333333333333333, 0.021111111111111112, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.5022222222222222, 0.10777777777777778, 0.0033333333333333335, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.008888888888888889, 0.023333333333333334, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.4888888888888889, 0.8688888888888889, 0.9955555555555555, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.4, 0.1922222222222222, 0.028888888888888888, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.36444444444444446, 0.4066666666666667, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557, 0.41555555555555557]","[0.1, 0.44222222222222224, 0.5644444444444444, 0.5844444444444444, 0.5844444444444444, 0.5844444444444444, 0.5844444444444444, 0.5844444444444444]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.4, 0.4, 0.1, 0.1]"
"[0.1, 0.32, 0.6288888888888889, 0.9211111111111111, 0.9877777777777778, 0.9966666666666667, 1.0, 1.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0022222222222222222, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.6766666666666666, 0.37, 0.07888888888888888, 0.012222222222222223, 0.0033333333333333335, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.04777777777777778, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.0022222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.9488888888888889, 0.9977777777777778, 1.0, 1.0, 1.0, 1.0, 1.0]",imitator,Battle of the Sexes,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.1, 0.012222222222222223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.03222222222222222, 0.028888888888888888, 0.028888888888888888, 0.028888888888888888, 0.028888888888888888, 0.028888888888888888, 0.028888888888888888]","[0.4, 0.9555555555555556, 0.9711111111111111, 0.9711111111111111, 0.9711111111111111, 0.9711111111111111, 0.9711111111111111, 0.9711111111111111]","[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Stag Hunt,0.95,8,"[0.1, 0.1, 0.4, 0.4]"
"[0.4, 0.8722222222222222, 0.9911111111111112, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4, 0.0011111111111111111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1, 0.12555555555555556, 0.008888888888888889, 0.0, 0.0, 0.0, 0.0, 0.0]",imitator,Prisoner's Dilemma,0.95,8,"[0.4, 0.1, 0.4, 0.1]"
