agent1,agent1_payoff,agent2,agent2_payoff,n_plays,prob
AlwaysDefect,4,AlwaysDefect,4,2,0.75
AlwaysDefect,20,AlwaysDefect,20,10,0.9
AlwaysDefect,332,AlwaysDefect,332,166,0.99
AlwaysDefect,10,RandomAgent,2,2,0.75
AlwaysDefect,60,RandomAgent,20,15,0.9
AlwaysDefect,120,RandomAgent,48,33,0.99
AlwaysDefect,10,AlwaysCoorperate,2,2,0.75
AlwaysDefect,80,AlwaysCoorperate,16,16,0.9
AlwaysDefect,875,AlwaysCoorperate,175,175,0.99
AlwaysDefect,9,TitforTat,5,3,0.75
AlwaysDefect,7,TitforTat,3,2,0.9
AlwaysDefect,227,TitforTat,223,112,0.99
AlwaysDefect,20,TitforTwoTats,12,7,0.75
AlwaysDefect,150,TitforTwoTats,142,72,0.9
AlwaysDefect,82,TitforTwoTats,74,38,0.99
AlwaysDefect,7,PavlovAgent,3,2,0.75
AlwaysDefect,33,PavlovAgent,13,9,0.9
AlwaysDefect,623,PavlovAgent,267,178,0.99
AlwaysDefect,7,WinStayLoseShift,3,2,0.75
AlwaysDefect,112,WinStayLoseShift,48,32,0.9
AlwaysDefect,812,WinStayLoseShift,348,232,0.99
AlwaysDefect,11,NeverForgive,7,4,0.75
AlwaysDefect,11,NeverForgive,7,4,0.9
AlwaysDefect,51,NeverForgive,47,24,0.99
AlwaysDefect,2,MyAgent,2,1,0.75
AlwaysDefect,7,MyAgent,3,2,0.9
AlwaysDefect,112,MyAgent,48,32,0.99
RandomAgent,2,AlwaysDefect,10,2,0.75
RandomAgent,13,AlwaysDefect,25,8,0.9
RandomAgent,298,AlwaysDefect,650,193,0.99
RandomAgent,2,RandomAgent,2,1,0.75
RandomAgent,29,RandomAgent,25,10,0.9
RandomAgent,362,RandomAgent,362,131,0.99
RandomAgent,5,AlwaysCoorperate,1,1,0.75
RandomAgent,107,AlwaysCoorperate,55,27,0.9
RandomAgent,305,AlwaysCoorperate,157,77,0.99
RandomAgent,7,TitforTat,3,2,0.75
RandomAgent,29,TitforTat,29,10,0.9
RandomAgent,299,TitforTat,299,111,0.99
RandomAgent,5,TitforTwoTats,1,1,0.75
RandomAgent,30,TitforTwoTats,18,8,0.9
